"from","to","n"
"Caro, José Eusebio","Revista Literaria. Publicación Mensual",16
"Caro, Luis Alejandro","Cultura",1
"Caro, Miguel Antonio","Cultura",1
"Caro, Miguel Antonio","Revista Literaria. Publicación Mensual",10
"Caro, Miguel Antonio","Revista Moderna. (Enciclopedia colombiana)",2
"Caro, Víctor Eduardo","Cultura",1
"Carranza, Adolfo Pedro ","Revista Literaria. Publicación Mensual",1
"Carrasquilla L., Juan de Dios","Alpha",1
"Carrasquilla L., Juan de Dios","Revista Contemporánea",3
"Carrasquilla, Ricardo","Revista Literaria. Publicación Mensual",1
"Carrasquilla, Tomás","Alpha",13
"Carrasquilla, Tomás","El Montañés",6
"Carrasquilla, Tomás","El Repertorio. Revista Mensual Ilustrada",1
"Carrasquilla, Tomás","Lectura Amena",1
"Carrere Moreno, Emilio ","Revista Moderna. (Enciclopedia colombiana)",1
"Carreño, Pedro M.","Revista Moderna. (Enciclopedia colombiana)",1
"Carricarte, Arturo R. de","Alpha",1
"Carriego, Evaristo","Panida",2
"Carrillo, Enrique A.","Revista Moderna. (Enciclopedia colombiana)",5
"Carvajal Borrero, Mario","Cultura",16
"Carvajal, Alberto","Alpha",1
"Carvajal, Alberto","Revista Contemporánea",1
"Carvajal, Alberto","Trofeos",2
"Carvajal, M.A.","Alpha",3
"Carvajal, M.A.","Lectura Amena",2
"Carvajal, M.A.","Revista Contemporánea",1
"Carvajal, M.A.","Trofeos",4
"Carvajal, Manuel A.","Revista Contemporánea",2
"Carvajal, Manuel Antonio","Cultura",15
"Carvajal, Manuel Antonio","Lectura y Arte",1
"Casal, Julián del","Lectura Amena",1
"Casas Castañeda, José Joaquín ","Revista Moderna. (Enciclopedia colombiana)",4
"Casas Castañeda, Vicente","Revista Moderna. (Enciclopedia colombiana)",1
"Castelar, Emilio","El Repertorio. Revista Mensual Ilustrada",1
"Castell, Ángel María","Lectura y Arte",1
"Castello, Carlos","La Gruta",4
"Castello, Manuel","La Gruta",1
"Castilla Baena, Clodomiro","Lectura y Arte",1
"Castillo, Eduardo","Cultura",5
"Castillo, Eduardo","Trofeos",1
"Castro y Serrano, José de","Revista Literaria. Publicación Mensual",1
"Castro, Alfonso","Alpha",2
"Castro, Alfonso","Cultura",3
"Castro, Alfonso","El Repertorio. Revista Mensual Ilustrada",1
"Castro, Alfonso","Lectura Amena",5
"Castro, Alfonso","Lectura y Arte",1
"Castro, Eugenio de","Cultura",1
"Castro, Eugenio de","Trofeos",3
"Cañas, Juan José","Revista Moderna. (Enciclopedia colombiana)",1
"Ceballos Quintana, Enrique","El Montañés",2
"Cervantes, Edmundo","La Gruta",1
"Cervantes, Próspero","Revista Literaria. Publicación Mensual",1
"Cervera, Manuel","Trofeos",3
"Cervera, Manuel S.","Lectura Amena",1
"Cestero, Tulio ","Revista Moderna. (Enciclopedia colombiana)",1
"Cestero, Tulio Manuel ","Trofeos",2
"Charton, Ernest","Revista Literaria. Publicación Mensual",1
"Chaumeix, André","Lectura y Arte",1
"Chaux, Simón","El Montañés",1
