source,target,weigth
"Benlliure, Manuel",Germinal,1
"Benlliure, Mariano",Alma Española,2
"Benlliure, Mariano",Gente Vieja,1
"Benot, Eduardo",Alma Española,1
"Benot, Eduardo",Gente Vieja,1
"Benot, Eduardo",Germinal,1
"Benítez, Cecilio",Gente Vieja,1
"Berchtold, Josef",Luz,1
"Bergerat, Émile",Revista Azul,1
"Berisso, Luis",La Bibliotéca,1
Berlioz,Revista Azul,1
"Bermúdez de Castro, Salvador",Germinal,1
"Bernal, Luis",Lectura Amena,1
"Bernaldo de Quirós, Constancio",Alma Española,3
"Bernard, Tristán",Revista Azul,1
"Bernewitz, Carl Hans",La Vida Literaria,1
"Berrío París, Julio",El Repertorio. Revista Mensual Ilustrada,1
"Berthoud, Eugène",Revista Literaria. Publicación Mensual,1
"Berthélot, Marcellin",Germinal,1
"Bertòla De' Giorgi, Aurelio",Germinal,1
"Beránger, José María",Alma Española,1
"Betancourt Villegas, Félix",Alpha,4
"Betancourt Villegas, Félix",CULTURA,1
"Betancourt Villegas, Félix",Lectura y Arte,1
"Betancourt, Pedro Pablo",CULTURA,1
"Bettelini, J. Luis",Luz i Sombra,1
"Beuf, François-César",La Bibliotéca,1
"Beyle, Henri",El Montañés,1
"Beyle, Henri",Revista Azul,4
"Beyle, Pierre Marie",Germinal,1
"Bher, Alejandro",Gente Vieja,40
Bi-Caho-Ph,El Nuevo Mercurio,1
"Biart, Lucien",Revista Literaria. Publicación Mensual,1
"Bidau, Eduardo L.",La Bibliotéca,3
"Bilac, Olavo",Revista Moderna. (Enciclopedia colombiana),1
"Bilbao, Gonzalo",Germinal,1
"Billini, Miguel",Revista Azul,1
Binich,Gente Vieja,1
"Bissière, Roger",Revista Moderna. (Enciclopedia colombiana),1
"Blaine, James G.",Revista Literaria. Publicación Mensual,1
"Blanc, Charles",El Repertorio. Revista Mensual Ilustrada,1
"Blanc, Louis",Germinal,1
"Blanca, José María",Luz,3
"Blanco A., Arturo",Instantáneas,1
"Blanco Asenjo, Ricardo",Lectura Amena,1
"Blanco Fombona, Rufino",Lectura Amena,2
"Blanco Fombona, Rufino",Revista Moderna. (Enciclopedia colombiana),3
"Blanco Fombona, Rufino",Trofeos,5
"Blanco y Sánchez, Rufino",Revista Literaria. Publicación Mensual,3
"Blanco, Héctor",Lectura Amena,1
"Blanco, Ramiro",Luz i Sombra,1
"Blanco-Fombona, Rufino",El Nuevo Mercurio,3
"Blanco-Fombona, Rufino",Helios,4
"Blanco-Fombona, Rufino",Revista Azul,2
"Blas, Ruy",Luz i Sombra,8
"Blasco Ibáñez, Vicente",Alma Española,2
"Blasco Ibáñez, Vicente",Alpha,1
"Blasco Ibáñez, Vicente",Germinal,1
"Blasco Ibáñez, Vicente",Lectura y Arte,1
"Blasco Ibáñez, Vicente",Vida Nueva,6
"Blasco, Eusebio",Gente Vieja,3
"Blasco, Eusebio",Germinal,4
"Blasco, Eusebio",Instantáneas,1
"Blasco, Eusebio",Luz i Sombra,1
"Blasco, Eusebio",Revista Azul,2
"Blasco, Eusebio",Vida Nueva,9
"Blest Gana, Guillermo",Luz i Sombra,1
"Blouët, Léon Paul ",Revista Azul,1
"Blowitz, Adolphe Opper de",La Habana Literaria,2
"Bloy, Léon",Revista Nueva Spain,1
Boabdil,Gente Vieja,1
