Source,Target,Type,Id,Label,Weight
La Bibliotéca,"Avellaneda, Nicolás",Directed,4071,,24
Gente Vieja,"Avilés Rodríguez, Ángel",Directed,4072,,14
Revista Azul,"Aybar, Manuel Eudoro",Directed,4073,,1
Gente Vieja,"Ayguals de Izco, Wenceslao",Directed,4074,,1
Gente Vieja,"Aza, Vital",Directed,4075,,1
Revista Azul,"Aza, Vital",Directed,4076,,1
Vida Nueva,"Aza, Vital",Directed,4077,,1
Gente Vieja,"Azagra, Silverio M. de",Directed,4078,,1
Gente Vieja,"Azaña, Manuel",Directed,4079,,15
Germinal,"Azcárate, G. De",Directed,4080,,1
Gente Vieja,"Azcárate, Gumersindo de",Directed,4081,,2
Alma Española,"Azcárraga y Palmero, Marcelo",Directed,4082,,1
Gente Vieja,"Azcárraga, Marcelo de",Directed,4083,,1
Germinal,B.,Directed,4084,,2
Vida Nueva,B.,Directed,4085,,6
Instantáneas,B. G.,Directed,4086,,2
Vida Nueva,B. y S.,Directed,4087,,1
Vida Nueva,"B., E.",Directed,4088,,1
Alma Española,"Bacon, Francis",Directed,4089,,1
El Repertorio. Revista Mensual Ilustrada,"Bacon, Francis",Directed,4090,,1
Instantáneas,Baedeker,Directed,4091,,4
Germinal,"Baeza, D.",Directed,4092,,1
Gente Vieja,"Baglieto, Mariano",Directed,4093,,2
Alpha,"Bahr, Hermann",Directed,4094,,1
Germinal,"Bakunin, Mikhail Aleksandrovich",Directed,4095,,1
Gente Vieja,"Balaciart, Daniel",Directed,4096,,29
Revista Literaria. Publicación Mensual,"Balaguer i Cirera, Víctor",Directed,4097,,1
El Repertorio. Revista Mensual Ilustrada,"Balart, Federico",Directed,4098,,1
Gente Vieja,"Balart, Federico",Directed,4099,,29
La Vida Literaria,"Balart, Federico",Directed,4100,,1
Revista Azul,"Balart, Federico",Directed,4101,,7
Revista Literaria. Publicación Mensual,"Balart, Federico",Directed,4102,,3
Vida Nueva,"Balart, Federico",Directed,4103,,1
Gente Vieja,"Balbín de Unquera, Antonio",Directed,4104,,46
La Vida Literaria,"Ballester, J.",Directed,4105,,1
Alma Española,"Ballester, Roberto",Directed,4106,,1
Luz i Sombra,"Ballesteros L., F.",Directed,4107,,1
Gente Vieja,"Balmaseda de González, Joaquina",Directed,4108,,2
La Vida Literaria,"Balsa de la Vega, Rafael",Directed,4109,,1
Luz,"Balué, J. B.",Directed,4110,,3
Revista Azul,"Balzac, Honoré de",Directed,4111,,1
Gente Vieja,"Bamburghen, Eulalia de",Directed,4112,,1
Alma Española,Banda,Directed,4113,,3
Revista Azul,"Banville, Théodore de",Directed,4114,,1
Luz i Sombra,"Barahona Vega, Clemente",Directed,4115,,1
Revista Azul,"Barbey d'Aurevilly, Jules",Directed,4116,,1
Alpha,"Barbier, Auguste",Directed,4117,,1
Germinal,"Barbosa, Joaquín",Directed,4118,,1
Germinal,"Barco, Ramón",Directed,4119,,1
Arte Joven,"Bargiela, Camilo",Directed,4120,,3
