Source,Target,Type,Id,Label,Weight,n
Trofeos,"Gómez Restrepo, Antonio",Directed,503,,8,8
Revista Literaria. Publicación Mensual,"Gómez de Baquero, Eduardo",Directed,504,,2,2
La Gruta,"Gómez, Enrique",Directed,505,,1,1
Revista Contemporánea,"Gómez, Jaime Alfredo",Directed,506,,1,1
Lectura Amena,"Gómez, Lucas",Directed,507,,1,1
La Gruta,"Gómez, Plinio",Directed,508,,1,1
La Gruta,"Güell, Joaquín M.",Directed,509,,5,5
Revista Moderna. (Enciclopedia colombiana),"Güell, Joaquín M.",Directed,510,,1,1
Trofeos,"Güell, Joaquín M.",Directed,511,,1,1
CULTURA,"Hawthorne, Nathaniel",Directed,512,,1,1
Alpha,"Hearn, Lafcadio",Directed,513,,3,3
El Montañés,"Heine, Heinrich",Directed,514,,2,2
El Repertorio. Revista Mensual Ilustrada,"Heine, Heinrich",Directed,515,,1,1
Revista Literaria. Publicación Mensual,"Heine, Heinrich",Directed,516,,2,2
El Montañés,"Henao, Federico Carlos",Directed,517,,1,1
El Repertorio. Revista Mensual Ilustrada,"Henao, Federico Carlos",Directed,518,,3,3
La Bohemia Alegre,"Henao, Federico Carlos",Directed,519,,11,11
Revista Literaria. Publicación Mensual,Hephel,Directed,520,,2,2
La Gruta,"Heredia Márquez, Francisco de",Directed,521,,1,1
Revista Contemporánea,"Heredia Márquez, Francisco de",Directed,522,,3,3
Lectura Amena,"Heredia, José María de",Directed,523,,1,1
Revista Literaria. Publicación Mensual,"Heredia, José María de",Directed,524,,1,1
Trofeos,"Heredia, José María de",Directed,525,,11,11
Revista Moderna. (Enciclopedia colombiana),"Hermant, Abel",Directed,526,,1,1
Alpha,"Hernández Catá, Alfonso",Directed,527,,1,1
El Repertorio. Revista Mensual Ilustrada,"Hernández, Luis María",Directed,528,,1,1
Revista Moderna. (Enciclopedia colombiana),"Herrera, Benjamín",Directed,529,,1,1
La Gruta,"Herrán, Pablo Emilio",Directed,530,,1,1
Revista Literaria. Publicación Mensual,"Hidalgo Lara, Tomás",Directed,531,,2,2
Revista Contemporánea,"Hinestroza Daza, Ricardo",Directed,532,,5,5
Revista Literaria. Publicación Mensual,"Hoffmann, Ernst Theodor Amadeus",Directed,533,,1,1
CULTURA,"Holguín Caro, Hernando",Directed,534,,1,1
Revista Moderna. (Enciclopedia colombiana),"Holguín Caro, Hernando",Directed,535,,2,2
Revista Literaria. Publicación Mensual,"Holguín, Jorge",Directed,536,,1,1
Trofeos,"Holguín, Jorge",Directed,537,,1,1
Revista Moderna. (Enciclopedia colombiana),"Hoyos y Vinent, Antonio de",Directed,538,,1,1
Alpha,"Hoyos, Sebastián",Directed,539,,1,1
Lectura Amena,"Hugo, Victor",Directed,540,,2,2
Revista Literaria. Publicación Mensual,"Hugo, Victor",Directed,541,,2,2
Revista Moderna. (Enciclopedia colombiana),"Hugo, Victor",Directed,542,,1,1
Lectura Amena,"Huysmans, Joris-Karl",Directed,543,,1,1
Revista Literaria. Publicación Mensual,"Ibáñez, Pedro María",Directed,544,,6,6
Revista Moderna. (Enciclopedia colombiana),"Ibáñez, Pedro María",Directed,545,,3,3
Panida,"Icaza, Francisco A. de",Directed,546,,1,1
Trofeos,"Icaza, Francisco A. de",Directed,547,,2,2
Panida,"Ingenieros, José",Directed,548,,1,1
Revista Moderna. (Enciclopedia colombiana),"Ingenieros, José",Directed,549,,1,1
Revista Literaria. Publicación Mensual,"Isaacs, Jorge",Directed,550,,4,4
Lectura Amena,"Isaacs, Lisímaco",Directed,551,,1,1
Panida,"Isaza, Fernando",Directed,552,,1,1
La Gruta,"Isaza, Horacio",Directed,553,,3,3
Panida,"Isaza, Teodomiro",Directed,554,,6,6
Revista Literaria. Publicación Mensual,"Jackson Veyán, José",Directed,555,,1,1
Alpha,"Jaloux, Edmond",Directed,556,,1,1
Panida,"Jammes, Francis",Directed,557,,2,2
Lectura Amena,"Jaramillo A., Roberto",Directed,558,,3,3
