Source,Target,Type,Id,Label,Weight,n
Panida,"Jaramillo Arango, Rafael",Directed,559,,7,7
Panida,"Jaramillo Arango, Roberto",Directed,560,,1,1
El Repertorio. Revista Mensual Ilustrada,"Jaramillo Córdoba, Federico",Directed,561,,1,1
El Montañés,"Jaramillo Jaramillo, Germán",Directed,562,,1,1
Alpha,"Jaramillo Medina, Francisco",Directed,563,,5,5
Revista Moderna. (Enciclopedia colombiana),"Jaramillo Meza, Juan Bautista",Directed,564,,1,1
Alpha,"Jaramillo P., Escipión",Directed,565,,1,1
Lectura Amena,"Jaramillo P., Escipión",Directed,566,,3,3
Trofeos,"Jaramillo P., Escipión",Directed,567,,1,1
Alpha,"Jaramillo, Bernardo",Directed,568,,6,6
Lectura Amena,"Jaramillo, Bernardo",Directed,569,,1,1
Lectura y Arte,"Jaramillo, Bernardo",Directed,570,,1,1
Alpha,"Jaramillo, Emilio",Directed,571,,1,1
Lectura y Arte,"Jaramillo, Emilio",Directed,572,,1,1
Lectura Amena,"Jaramillo, Joaquín Emilio",Directed,573,,1,1
Trofeos,"Jeunesse, Ernest La",Directed,574,,1,1
CULTURA,"Jiménez López, Miguel",Directed,575,,4,4
Revista Literaria. Publicación Mensual,"Jiménez de la Espada, Marcos",Directed,576,,2,2
Panida,"Jiménez, Juan Ramón",Directed,577,,3,3
Revista Contemporánea,"Jiménez, Juan Ramón",Directed,578,,1,1
El Montañés,"Jiménez, Tobías",Directed,579,,2,2
Trofeos,"Joubert, Joseph",Directed,580,,1,1
La Gruta,"Joufrez, Lila de",Directed,581,,1,1
El Repertorio. Revista Mensual Ilustrada,"Jouy, Victor Joseph Étienne de",Directed,582,,1,1
Revista Literaria. Publicación Mensual,"Jugo Ramírez, Diego",Directed,583,,1,1
Revista Moderna. (Enciclopedia colombiana),"Kaminsky-Halpérine, Ilya",Directed,584,,1,1
Panida,"Khayyam, Omar",Directed,585,,1,1
Alpha,"Kipling, Rudyard",Directed,586,,2,2
Revista Moderna. (Enciclopedia colombiana),"L'Heureux, Marcel",Directed,587,,1,1
Alpha,LL. RR,Directed,588,,1,1
Revista Literaria. Publicación Mensual,"Lamartine, Alphonse de",Directed,589,,2,2
Revista Literaria. Publicación Mensual,"Lambert, Suzanne",Directed,590,,1,1
Revista Moderna. (Enciclopedia colombiana),"Lapauze, Jeanne",Directed,591,,1,1
El Montañés,"Larra, Gilberto E.",Directed,592,,1,1
Revista Literaria. Publicación Mensual,"Larrazábal, Antonio",Directed,593,,1,1
Lectura y Arte,"Latorre, Francisco A.",Directed,594,,3,3
